Element,Z,A1,B1,A2,B2,A3,B3,A4,B4,C,EPS1
He,2,0.1440,1.0083,0.7428,3.4565,0.7326,9.6977,0.3616,20.128,0.0176,0.067
Li,3,0.8488,1.1522,1.059,4.3791,-0.2016,50.071,1.2398,100.26,0.0408,0.2089
Be,4,0.6514,0.6613,1.1166,1.9686,1.7812,49.358,0.3164,100.02,0.1294,0.1568
B,5,0.4131,0.6535,1.2097,0.9048,1.6088,20.168,1.5661,50.553,0.1987,0.0685
C,6,1.8563,0.4124,1.528,10.075,0.3173,20.326,2.3965,30.779,-0.1096,0.1461
N,7,1.0911,0.477,0.2427,0.9099,2.4053,8.3907,2.7634,23.113,0.4843,0.1301
O,8,1.3721,0.387,2.0624,5.5416,3.0566,12.332,1.0743,29.88,0.4348,0.04
F,9,1.3631,0.3012,2.6891,4.3402,3.3944,10.2547,1.1184,25.0341,0.435,0.031
Ne,19,1.3212,1.1983,2.4951,4.4092,3.3219,7.3281,1.6841,18.704,1.1773,0.0256
Na,11,1.929,0.8307,4.1307,4.369,2.7662,7.5375,1.2304,99.9568,0.9093,0.1704
Mg,12,1.7214,0.5091,6.1695,3.4069,1.1777,9.9868,2.1435,80.4922,0.7801,0.0533
Al,13,2.3913,0.9131,5.9946,3.2803,2.1082,40.1807,1.3645,99.5953,1.1433,0.0317
Si,14,3.7464,1.3104,4.2959,2.8652,3.5786,36.3701,0.9544,97.9643,1.4345,0.0482
P,15,5.6374,1.4781,2.1092,2.4033,4.3964,28.6581,1.238,67.975,1.6249,0.0952
S,16,1.5484,0.5962,6.3527,1.5137,5.4342,22.8367,1.3629,59.5706,1.3096,0.0415
Cl,17,2.6986,0.5643,5.3371,1.3294,6.3451,18.6911,1.5618,49.8626,1.066,0.0451
Ar,18,5.9435,0.7504,1.8388,0.984,4.7067,11.9723,4.5353,27.3922,0.9665,0.0688
K,19,7.2013,0.8858,8.9378,14.187,-1.4157,50.7998,2.3835,101.6003,1.8417,0.1369
Ca,20,7.1869,0.7073,8.7943,10.7679,-0.768,50.2482,3.1336,100.6352,1.6283,0.08
Sc,21,6.9762,0.6476,9.2947,9.3204,0.4098,49.8866,2.4814,100.8591,1.8101,0.0644
Ti,22,6.6289,0.6365,9.9142,8.2781,1.0215,39.7076,2.2186,100.4239,2.2032,0.0521
V,23,7.0016,0.4781,10.213,6.8858,2.023,24.3886,2.1696,100.0569,1.5907,0.0248
Cr,24,6.2129,0.5502,10.438,6.204,2.6521,19.1178,2.1659,99.6437,2.5393,0.0548
Mn,25,6.3256,0.4707,11.2801,5.5442,2.7367,17.0717,2.3197,82.4396,2.33,0.0264
Fe,26,6.7127,0.3756,12.076,4.9535,3.2058,16.7354,2.1868,81.5166,1.8157,0.0316
Co,27,5.7126,0.4535,12.174,4.4345,3.7866,13.387,2.394,70.743,2.9223,0.0354
Ni,28,6.913,0.3326,13.5648,4.2322,3.5796,14.7259,2.1748,72.0905,1.7611,0.0325
Cu,29,6.0244,0.3595,13.2935,3.7182,5.3316,11.2861,1.7341,61.261,2.5867,0.054
Zn,30,5.1852,0.666,14.1138,3.7186,4.0454,12.017,2.2929,62.0659,4.3554,0.0393
Ga,31,6.7774,0.3606,15.969,3.4914,3.2526,15.623,2.5491,70.08,2.4428,0.0327
Ge,32,7.5912,0.2894,16.526,3.167,3.0401,16.573,3.2485,59.315,1.5919,0.0279
As,33,6.6686,0.4026,16.533,2.9581,3.9291,21.902,2.8578,56.85,3.0168,0.025
Se,34,6.7334,0.2214,17.408,2.4704,5.4759,20.874,2.5404,58.169,1.8541,0.0319
Br,35,5.3834,0.3777,16.899,2.271,5.9395,19.354,3.0412,46.414,3.739,0.0287
Kr,36,6.9119,0.2395,17.083,2.046,7.9482,19.486,2.0509,48.932,2.0129,0.0226
H2O,10,1.6607,0.3042,1.6277,5.1864,3.7734,12.745,2.7907,30.788,0.1444,0.0434
